ID,Newspaper,Link
44,el_pais,https://elpais.com/opinion/2024-12-29/comerse-el-turron.html
45,el_pais,https://elpais.com/opinion/2024-12-29/los-besos-en-el-pan.html
46,el_pais,https://elpais.com/opinion/2024-12-29/un-buen-ano-para-la-economia.html
47,el_pais,https://elpais.com/internacional/2024-12-29/trump-respalda-a-elon-musk-y-las-visas-para-trabajadores-cualificados-frente-a-los-halcones-antinmigracion-republicanos.html
48,el_pais,https://elpais.com/economia/negocios/2024-12-28/la-economia-mundial-en-2025-claves-para-entender-un-ano-marcado-por-la-vuelta-del-imprevisible-donald-trump.html
49,el_pais,https://elpais.com/us/2024-12-28/como-la-migracion-marco-la-agenda-politica-de-estados-unidos-en-2024.html
50,el_pais,https://elpais.com/opinion/2024-12-28/mexico-mira-al-norte.html
51,el_pais,https://elpais.com/opinion/2024-12-28/muertes-culpables.html
52,el_pais,https://elpais.com/internacional/2024-12-27/el-numero-de-personas-sin-hogar-aumenta-un-18-en-2024-en-ee-uu-por-la-falta-de-vivienda-asequibles.html
53,el_pais,https://elpais.com/internacional/2024-12-27/acusado-de-asesinato-el-hombre-que-prendio-fuego-a-una-mujer-en-el-metro-de-nueva-york.html
54,el_pais,https://elpais.com/us/2024-12-27/temporada-de-taxes-ciudadanos-residentes-que-trabajan-en-el-pais-e-inmigrantes-deben-rendir-cuentas.html
55,el_pais,https://elpais.com/espana/2024-12-27/un-migrante-fallece-durante-su-rescate-en-helicoptero-tras-otra-noche-intensa-de-llegadas-a-canarias.html
56,el_pais,https://elpais.com/espana/2024-12-27/el-gobierno-renovara-y-flexibilizara-los-permisos-de-residencia-y-trabajo-de-los-inmigrantes-afectados-por-la-dana.html
57,el_pais,https://elpais.com/us/2024-12-27/ejecutar-a-un-migrante-el-plan-de-una-joven-colombiana-para-abrirse-camino-en-la-politica-estadounidense.html
58,el_pais,https://elpais.com/opinion/2024-12-27/espana-pais-de-asilo.html
59,el_pais,https://elpais.com/opinion/2024-12-27/los-otros-europeos.html
60,el_pais,https://elpais.com/planeta-futuro/2024-12-26/radiografia-del-lucrativo-negocio-de-los-cayucos-en-mauritania-todo-exploto-hace-algo-mas-de-un-ano.html
61,el_pais,https://elpais.com/espana/2024-12-25/defensa-del-estado-de-todas-sus-piezas.html
62,el_pais,https://elpais.com/us/2024-12-25/los-migrantes-dedicados-a-la-venta-ambulante-en-nueva-york-acorralados-entre-el-alcalde-adams-y-trump.html
63,el_pais,https://elpais.com/espana/2024-12-24/el-discurso-de-felipe-vi-en-ocho-claves.html
64,el_pais,https://elpais.com/opinion/2024-12-24/felipe-vi-la-exigencia-del-bien-comun.html
65,el_pais,https://elpais.com/espana/2024-12-24/el-rey-pide-consenso-y-serenidad-frente-al-ruido-del-debate-publico.html
66,el_pais,https://elpais.com/espana/catalunya/2024-12-23/detenido-por-empadronar-ilegalmente-a-mas-de-100-personas-en-una-vivienda-de-sueca-valencia.html
67,el_pais,https://elpais.com/podcasts/hoy-en-el-pais/2024-12-23/podcast-cara-a-cara-con-las-personas-migrantes-como-puedes-ayudarles.html
68,el_pais,https://elpais.com/espana/madrid/2024-12-23/destino-madrid-ocho-historias-entre-un-millon-de-acentos-latinoamericanos.html
69,el_pais,https://elpais.com/us/migracion/2024-12-23/trump-desafia-las-leyes-de-estados-unidos-con-sus-promesas-migratorias.html
70,el_pais,https://elpais.com/us/2024-12-23/no-se-que-voy-a-hacer-entre-la-incertidumbre-y-el-miedo-miles-de-migrantes-se-preparan-para-el-cierre-de-albergues-en-nueva-york.html
71,el_pais,https://elpais.com/mexico/2024-12-22/el-fentanilo-las-deportaciones-y-los-aranceles-centran-la-estrategia-de-mexico-ante-su-segundo-asalto-contra-trump.html
72,el_pais,https://elpais.com/espana/catalunya/2024-12-22/el-anhelo-ecuatoriano-ante-el-nuevo-un-reglamento-de-extranjeria-quiero-saber-si-puedo-traer-a-mi-hijo.html
