URL,Error
https://www.lavanguardia.com/vida/20231213/9446406/aumento-poblacion-ano-espana-debe-inmigracion-agenciaslv20231213.html,Article `download()` failed with 410 Client Error: Gone for url: https://www.lavanguardia.com/vida/20231213/9446406/aumento-poblacion-ano-espana-debe-inmigracion-agenciaslv20231213.html on URL https://www.lavanguardia.com/vida/20231213/9446406/aumento-poblacion-ano-espana-debe-inmigracion-agenciaslv20231213.html
https://www.lavanguardia.com/vida/20210131/6211847/quince-detenidos-favorecer-inmigracion-ilegal-contratos-ficticios.html,Article `download()` failed with 410 Client Error: Gone for url: https://www.lavanguardia.com/vida/20210131/6211847/quince-detenidos-favorecer-inmigracion-ilegal-contratos-ficticios.html on URL https://www.lavanguardia.com/vida/20210131/6211847/quince-detenidos-favorecer-inmigracion-ilegal-contratos-ficticios.html
https://www.lavanguardia.com/vida/20210203/6220284/grupos-salvo-pp-censuran-mentiras-vox-sobre-inmigracion.html,Article `download()` failed with 410 Client Error: Gone for url: https://www.lavanguardia.com/vida/20210203/6220284/grupos-salvo-pp-censuran-mentiras-vox-sobre-inmigracion.html on URL https://www.lavanguardia.com/vida/20210203/6220284/grupos-salvo-pp-censuran-mentiras-vox-sobre-inmigracion.html
https://www.lavanguardia.com/local/sevilla/20210123/6192792/vox-llevara-pleno-parlamento-debate-denunciar-agresion-supone-inmigracion-irregular.html,Article `download()` failed with 410 Client Error: Gone for url: https://www.lavanguardia.com/local/sevilla/20210123/6192792/vox-llevara-pleno-parlamento-debate-denunciar-agresion-supone-inmigracion-irregular.html on URL https://www.lavanguardia.com/local/sevilla/20210123/6192792/vox-llevara-pleno-parlamento-debate-denunciar-agresion-supone-inmigracion-irregular.html
